,id,year,rating,votes
204,204,2012,8.9,18886
205,205,2014,8.9,4853
206,206,2022,8.9,7
207,207,2022,8.9,31
208,208,2010,8.9,652
209,209,2010,8.9,12339
210,210,2010,8.9,2528
211,211,2021,8.9,63
212,212,2021,8.9,317
213,213,2000,8.9,601
214,214,2016,8.9,14
215,215,2019,8.9,121
216,216,2017,8.9,308
217,217,2020,8.9,9
218,218,2021,8.9,1241
219,219,2006,8.9,794
220,220,2019,8.9,169
221,221,2001,8.9,771
222,222,2008,8.9,34677
223,223,2005,8.9,1894
224,224,2004,8.9,5179
225,225,1989,8.9,116
226,226,2003,8.9,3389
227,227,2004,8.9,1630
228,228,2002,8.9,784
229,229,1999,8.9,1145
230,230,2001,8.9,406
231,231,2002,8.9,3561
232,232,1995,8.9,217
233,233,1998,8.9,652
234,234,1996,8.9,2516
235,235,1996,8.9,1097
236,236,1994,8.9,1055
237,237,1996,8.9,931
238,238,1996,8.9,5464
239,239,1985,8.9,6231
240,240,1996,8.9,308
241,241,1996,8.9,268
242,242,1998,8.9,1835
243,243,2003,8.9,524
244,244,1997,8.9,1923
245,245,2019,8.8,107
246,246,2010,8.8,8
247,247,2006,8.8,7
248,248,2019,8.8,3128
249,249,2018,8.8,19
250,250,2017,8.8,2084
251,251,2017,8.8,1797
252,252,2017,8.8,770
253,253,2007,8.8,152
254,254,2018,8.8,2465
255,255,2009,8.8,400
256,256,2016,8.8,262
257,257,2019,8.8,8237
258,258,2014,8.8,5
259,259,2015,8.8,6
260,260,2016,8.8,240
261,261,2016,8.8,582
262,262,2021,8.8,628
263,263,2015,8.8,3442
264,264,2017,8.8,2911
265,265,2015,8.8,950
266,266,2016,8.8,3638
267,267,2012,8.8,934
268,268,2013,8.8,1614
269,269,2015,8.8,14621
270,270,2012,8.8,254
271,271,2015,8.8,7526
272,272,2022,8.8,8
273,273,2022,8.8,13
274,274,2011,8.8,6
275,275,2019,8.8,9
276,276,1999,8.8,8
277,277,2011,8.8,5464
278,278,2013,8.8,21
279,279,2013,8.8,11
280,280,2022,8.8,110
281,281,2013,8.8,18465
282,282,2002,8.8,13
283,283,2022,8.8,5
284,284,2013,8.8,20
285,285,2021,8.8,6
286,286,2011,8.8,6599
287,287,2009,8.8,851
288,288,2009,8.8,888
289,289,2010,8.8,13507
290,290,2010,8.8,72
291,291,2006,8.8,43
292,292,2017,8.8,11
293,293,2020,8.8,5
294,294,2022,8.8,163
295,295,2021,8.8,471
296,296,1999,8.8,593
297,297,2021,8.8,82
298,298,2009,8.8,23548
299,299,2021,8.8,23
300,300,2021,8.8,5
301,301,2010,8.8,1645
302,302,2017,8.8,35
303,303,2021,8.8,284
304,304,2019,8.8,9
305,305,2008,8.8,9534
306,306,2010,8.8,53
307,307,2008,8.8,23
308,308,2020,8.8,9
309,309,2009,8.8,35
310,310,2008,8.8,2257
311,311,2018,8.8,16
312,312,2021,8.8,826
313,313,1994,8.8,11
314,314,2017,8.8,7
315,315,2014,8.8,106
316,316,2006,8.8,1185
317,317,2019,8.8,12
318,318,2010,8.8,3328
319,319,2007,8.8,316
320,320,2016,8.8,14
321,321,2006,8.8,1302
322,322,2006,8.8,5424
323,323,2007,8.8,11914
324,324,2005,8.8,6753
325,325,2001,8.8,40
326,326,2004,8.8,718
327,327,2004,8.8,1396
328,328,2006,8.8,5508
329,329,1999,8.8,3382
330,330,2004,8.8,1142
331,331,1998,8.8,451
332,332,2000,8.8,260
333,333,2002,8.8,1993
334,334,2002,8.8,3426
335,335,1999,8.8,1598
336,336,2001,8.8,11225
337,337,1998,8.8,681
338,338,1991,8.8,707
339,339,1999,8.8,258
340,340,2001,8.8,1370
341,341,2001,8.8,924
342,342,2000,8.8,636
343,343,1992,8.8,160
344,344,2000,8.8,4991
345,345,2000,8.8,500
346,346,1999,8.8,1043
347,347,1994,8.8,200
